# v_kappa_fit_slope=-0.332869
# v_kappa_fit_intercept=0.727679
# v_kappa_ref_slope=-0.333333
# v_kappa_ref_intercept=0.729077
# v_radius_fit_slope=0.332869
# v_radius_fit_intercept=0.727679
# v_radius_ref_slope=0.333333
# v_radius_ref_intercept=0.729077
# omega_kappa_fit_slope=0.667131
# omega_kappa_fit_intercept=0.727679
# omega_kappa_ref_slope=0.666667
# omega_kappa_ref_intercept=0.729077
# omega_radius_fit_slope=-0.667131
# omega_radius_fit_intercept=0.727679
# omega_radius_ref_slope=-0.666667
# omega_radius_ref_intercept=0.729077
t,x,y,speed,curvature,radius,omega,log_speed,log_curvature,log_radius,log_omega,osc_cx,osc_cy,tx,ty,nx,ny
3.5,-0.35909815850815957,0.15892682284382334,0.462212569377579,54.96974402058403,0.018191825663687294,25.407706621920322,-0.7717303868392343,4.006782925150503,-4.006782925150521,3.2350525383167534,-0.3458432668482698,0.17138677340776562,0.6849202930159753,-0.728618001572093,0.728618001572093,0.6849202930159753
3.51,-0.3552808461538472,0.15580739860139903,0.526589282872776,37.724530769977676,0.026507950651457904,19.86533360493892,-0.6413343836789114,3.630310566404992,-3.6303105664050186,2.988976182729373,-0.34076822516139954,0.17798971767899116,0.8368175785978177,-0.5474818171863656,0.5474818171863656,0.8368175785978177
3.52,-0.350220986013987,0.15319935198135246,0.6080818140358945,24.753669117307105,0.04039805150747476,15.052256020922641,-0.49744584350966214,3.2089737251910977,-3.208973725191138,2.7115278816832453,-0.3349421388723479,0.1905966700082996,0.9257208363178709,-0.3782075266397292,0.3782075266397292,0.9257208363178709
3.53,-0.34398020512820615,0.15118421445221492,0.6978099332369344,16.504540975064163,0.06058938576424431,11.517032635926013,-0.359808515253489,2.803635553652991,-2.8036355536530517,2.443827038400478,-0.32927739949586576,0.20996262182945566,0.9701106330095383,-0.24266305800808002,0.24266305800808002,0.9701106330095383
3.54,-0.33675161305361406,0.14982899300699346,0.7754576072696744,11.883235455621048,0.08415216577459067,9.214945333042493,-0.2543019628891641,2.475128621604646,-2.47512862160473,2.220826658716072,-0.32562349832111603,0.2332421338603708,0.9912179928556918,-0.13223800754372297,0.13223800754372297,0.9912179928556918
3.55,-0.32877966200466296,0.14913103496503538,0.8312214760059623,9.583975947365605,0.10434082947325954,7.966406632977221,-0.18485900218012527,2.260092531704419,-2.2600925317045233,2.0752335295247133,-0.3243191580822247,0.253376478989655,0.9990858281561416,-0.042749362305852544,0.042749362305852544,0.9990858281561416
3.56,-0.320413303030304,0.14911797435897478,0.852472906810317,8.800564399275508,0.1136290758899747,7.50224271502357,-0.15961385119715107,2.1748158557088253,-2.174815855708939,2.015202004512046,-0.3246145331445326,0.26266935723517837,0.9993162576304329,0.03697319617650386,-0.03697319617650386,0.9993162576304329
3.57,-0.3119876573426582,0.1497885920745925,0.844718498737639,8.9743054175118,0.11142923641182993,7.5807617994955825,-0.16875184471620955,2.194365540573035,-2.1943655405731466,2.025613695857215,-0.3249773307621606,0.26045811412894915,0.993182091327502,0.11657329654054278,-0.11657329654054278,0.993182091327502
3.58,-0.30378896969697056,0.15110047086247128,0.8116426434082474,10.156798450715849,0.09845622169744067,8.243690743106708,-0.2086951300152072,2.318143279373246,-2.3181432793733445,2.109448149358512,-0.32379465559480064,0.24750275362931556,0.9791385562535863,0.20319371953296847,-0.20319371953296847,0.9791385562535863
3.59,-0.2961571118881128,0.15303079953379997,0.7572401939876593,12.463801191141243,0.08023234522632458,9.43809123180869,-0.2780747786632126,2.522828538354617,-2.5228285383546973,2.244753759692069,-0.31985274737714653,0.22968421484752463,0.955392929094446,0.2953376898337478,-0.2953376898337478,0.955392929094446
3.6,-0.2893143962703971,0.15552668298368344,0.6902654812611791,16.331923534704924,0.06122977479504874,11.27336305861449,-0.37067899993924575,2.7931216915154926,-2.7931216915155535,2.4224426915772774,-0.3136401817176498,0.2117169088579783,0.9176944723795722,0.3972868678473763,-0.3972868678473763,0.9176944723795722
3.61,-0.2834925897435906,0.15850800000000043,0.6186456346580173,22.48396209108323,0.04447614686187979,13.909604997487392,-0.4802226505856038,3.1128022590987006,-3.1128022590987445,2.6325796085147792,-0.30640611215488767,0.1966275242673618,0.8570779385611004,0.5151867692709653,-0.5151867692709653,0.8570779385611004
3.62,-0.2788075874125882,0.16184462470862515,0.5393996534497377,33.73030390050197,0.029646931226880772,18.1941142347385,-0.6172985107503184,3.5183966588314286,-3.5183966588314584,2.9010981480841,-0.2980382337644361,0.1844083737776608,0.7610821132380908,0.6486555456550432,-0.6486555456550432,0.7610821132380908
3.63,-0.2753662587412596,0.16546901398601443,0.46517561960901027,53.04566167613013,0.018851683029339386,24.675548537894873,-0.7653402681181108,3.9711530836977054,-3.9711530836977245,3.2058128155849483,-0.2905143385868372,0.17669049472714846,0.5952508709053187,0.8035399185394959,-0.8035399185394959,0.5952508709053187
3.64,-0.27326878787878867,0.16925619347319396,0.4055746563058159,81.28208169127026,0.01230283451398598,32.96595234605192,-0.902450313110515,4.397925594861339,-4.397925594861351,3.4954752817597643,-0.2848534646648158,0.17339805306005523,0.3366589692980748,0.9416266449029349,-0.9416266449029349,0.3366589692980748
3.65,-0.272649790209791,0.1730917132867138,0.3826877153985496,99.92970144060573,0.010007034801303301,38.24186914518578,-0.9605359868865697,4.604466953183913,-4.604466953183922,3.6439309663083836,-0.2826490921643486,0.17269838653640904,-0.039305024727261106,0.9992272589512304,-0.9992272589512304,-0.039305024727261106
