# v_kappa_fit_slope=-0.299453
# v_kappa_fit_intercept=0.695804
# v_kappa_ref_slope=-0.333333
# v_kappa_ref_intercept=0.770548
# v_radius_fit_slope=0.299453
# v_radius_fit_intercept=0.695804
# v_radius_ref_slope=0.333333
# v_radius_ref_intercept=0.770548
# omega_kappa_fit_slope=0.700547
# omega_kappa_fit_intercept=0.695804
# omega_kappa_ref_slope=0.666667
# omega_kappa_ref_intercept=0.770548
# omega_radius_fit_slope=-0.700547
# omega_radius_fit_intercept=0.695804
# omega_radius_ref_slope=-0.666667
# omega_radius_ref_intercept=0.770548
t,x,y,speed,curvature,radius,omega,log_speed,log_curvature,log_radius,log_omega,osc_cx,osc_cy,tx,ty,nx,ny
3.5,-0.4278311351981365,0.14692866666666712,0.8815428416938748,14.742509936126789,0.06783105484293513,12.996154102795638,-0.12608167742460233,2.6907351528707104,-2.6907351528707784,2.5646534754463577,-0.38222787501797756,0.19714215750362443,0.7402728875925351,-0.6723065163267494,0.6723065163267494,0.7402728875925351
3.51,-0.42061797202797324,0.1411830186480191,0.9624634062136258,10.996369144191377,0.09093910788982017,10.58360290250129,-0.03825923306126882,2.397565140509919,-2.39756514051001,2.3593059074487868,-0.36788149981874435,0.2152693591076783,0.8146807482375673,-0.5799097157757209,0.5799097157757209,0.8146807482375673
3.52,-0.4121622843822856,0.13583946153846196,1.0436399896041224,8.341412979239804,0.11988376579467898,8.705432154937187,0.04271459244636498,2.1212326239915735,-2.1212326239916934,2.163947216438015,-0.3531381414149794,0.24018632468281623,0.870400278576042,-0.4923447522364268,0.4923447522364268,0.870400278576042
3.53,-0.40257942657342777,0.13094088111888152,1.1118013741399837,6.621832691862978,0.15101559440314252,7.362162686137727,0.10598155949615858,1.890372173306477,-1.8903721733066283,1.9963537328026901,-0.3392030177784155,0.2680143671078052,0.907677690709737,-0.41966797565199,0.41966797565199,0.907677690709737
3.54,-0.3921039300699312,0.12657031468531507,1.1659619758648148,5.428234234840003,0.18422196919608255,6.329114713910418,0.15354647664597088,1.6916138941071424,-1.6916138941073267,1.8451603707531665,-0.32703752789486623,0.2989190809775191,0.935549473520371,-0.3531956718247785,0.3531956718247785,0.935549473520371
3.55,-0.3808266759906771,0.12267443123543162,1.2122313067491286,4.62689109100868,0.2161278448812116,5.608862233438685,0.19246271659086794,1.5318851719363011,-1.5318851719365172,1.724347888527228,-0.31709834749168553,0.3291930635175805,0.9555392198341087,-0.2948640353770242,0.2948640353770242,0.9555392198341087
3.56,-0.3689946037296049,0.11934686247086282,1.2439654931638824,4.0768940669423746,0.24528476422978132,5.071515538560234,0.21830425531802278,1.4053354404096248,-1.4053354404098701,1.623639695727718,-0.3090057542484196,0.35718284272017264,0.9696320967843388,-0.24456818453267057,0.24456818453267057,0.9696320967843388
3.57,-0.35674810489510606,0.1165724918414922,1.266144082755002,3.7050581412230503,0.2699012976000499,4.691137441772196,0.23597612668931056,1.3096989512627224,-1.3096989512629922,1.5456750779521151,-0.30335097423067386,0.38113903712445835,0.9802344324963935,-0.19783947368630292,0.19783947368630292,0.9802344324963935
3.58,-0.34421231235431343,0.1143518088578092,1.2799293904853852,3.450320033554575,0.28982818703037644,4.4161660175264315,0.24680491272666108,1.2384669900901673,-1.238466990090457,1.4852719028169212,-0.2999050776757633,0.4007732587396631,0.9882456665675793,-0.15287413944287845,0.15287413944287845,0.9882456665675793
3.59,-0.3315061538461549,0.11271391608391641,1.2860314264922592,3.214298434206406,0.3111098799531923,4.1336888005137435,0.2515610629136194,1.1676091174558907,-1.1676091174562018,1.4191701803696175,-0.29680819701456174,0.42188281684233975,0.9937611136135831,-0.11152958831400382,0.11152958831400382,0.9937611136135831
