# v_kappa_fit_slope=-0.305803
# v_kappa_fit_intercept=0.834924
# v_kappa_ref_slope=-0.333333
# v_kappa_ref_intercept=0.886244
# v_radius_fit_slope=0.305803
# v_radius_fit_intercept=0.834924
# v_radius_ref_slope=0.333333
# v_radius_ref_intercept=0.886244
# omega_kappa_fit_slope=0.694197
# omega_kappa_fit_intercept=0.834924
# omega_kappa_ref_slope=0.666667
# omega_kappa_ref_intercept=0.886244
# omega_radius_fit_slope=-0.694197
# omega_radius_fit_intercept=0.834924
# omega_radius_ref_slope=-0.666667
# omega_radius_ref_intercept=0.886244
t,x,y,speed,curvature,radius,omega,log_speed,log_curvature,log_radius,log_omega,osc_cx,osc_cy,tx,ty,nx,ny
3.5,-0.17121544522144577,0.09664652214452239,1.14836145697883,7.40871602499936,0.13497615465696722,8.50788392880984,0.13833610633549467,2.002657148315485,-2.00265714831562,2.1409932546509993,-0.23020672801164455,0.2180491204722731,0.8994373757079613,0.4370496621433032,-0.4370496621433032,0.8994373757079613
3.51,-0.1613497902097907,0.10198585547785574,1.0901510671101777,8.97275989955316,0.11144842960187623,9.781663779420608,0.08631628031689782,2.1941933098561845,-2.194193309856296,2.2805095901731147,-0.21902718126031323,0.19734869426903823,0.8556678558137353,0.5175253815293743,-0.5175253815293743,0.8556678558137353
3.52,-0.15258898834498882,0.10789456876456904,1.0287921219742193,11.102166717696688,0.09007250795521966,11.421821656010428,0.028385416981832404,2.407140289061782,-2.4071402890618723,2.4355257060436757,-0.2067890707711863,0.17983487564689385,0.7986932807305661,0.6017383512090994,-0.6017383512090994,0.7986932807305661
3.53,-0.14503276689976738,0.11438097902097932,0.9680734901063704,13.8945764617662,0.07197052769126391,13.450971128892304,-0.03244727505592737,2.631498581388858,-2.63149858138893,2.59905130633304,-0.19509541826619084,0.16608676007409032,0.7184299283585847,0.6955993372902816,-0.6955993372902816,0.7184299283585847
3.54,-0.13878328671328716,0.1214117272727276,0.9190739720087473,17.06582223872469,0.05859664925671173,15.684753030541545,-0.08438866801727135,2.8370777639535407,-2.837077763953599,2.752689095936437,-0.18535749616253144,0.15697027502546318,0.6068358550161703,0.7948271793709584,-0.7948271793709584,0.6068358550161703
3.55,-0.13394972261072302,0.12900965501165534,0.8837402293598081,20.029880388645815,0.04992541046659532,17.701211088714356,-0.12359211771953427,2.997225178049603,-2.9972251780496526,2.8736330603302935,-0.17832573314589703,0.1518857626183523,0.4582056991205943,0.8888461831461096,-0.8888461831461096,0.4582056991205943
3.56,-0.13074443356643395,0.13712099533799568,0.8722041849713131,21.206572824363874,0.047155191377791596,18.496461566312654,-0.13673172540645304,3.054311172510932,-3.054311172510979,2.917579447104725,-0.17602318670351721,0.1502909075708365,0.27928870285664026,0.9602071757993975,-0.9602071757993975,0.27928870285664026
3.57,-0.1290863240093244,0.14571346386946424,0.8821225968831977,20.81650111294106,0.04803881279444598,18.3627060197727,-0.1254242339009904,3.03574599493067,-3.035745994930718,2.910321761029906,-0.17693476868461921,0.14998591946883305,0.08893757673938174,0.9960372018372239,-0.9960372018372239,0.08893757673938174
3.58,-0.12913396270396305,0.15464822843822884,0.9150763377732015,18.615923284546913,0.05371745385468186,17.03499090349195,-0.0887477879263134,2.9240173050496705,-2.9240173050497242,2.835269517123527,-0.1826189731643335,0.14965638462289205,-0.09292778151487122,0.995672851604745,-0.995672851604745,-0.09292778151487122
3.59,-0.1307817272727276,0.16386005827505873,0.9642548162959955,15.917130528443924,0.0628253942011053,15.34816977366469,-0.03639968704395057,2.7673959209822856,-2.7673959209823487,2.73099623393844,-0.19146330934470174,0.14758812680524744,-0.25900245715516973,0.9658766625131724,-0.9658766625131724,-0.25900245715516973
