# v_kappa_fit_slope=-0.211622
# v_kappa_fit_intercept=0.276375
# v_kappa_ref_slope=-0.333333
# v_kappa_ref_intercept=0.532190
# v_radius_fit_slope=0.211622
# v_radius_fit_intercept=0.276375
# v_radius_ref_slope=0.333333
# v_radius_ref_intercept=0.532190
# omega_kappa_fit_slope=0.788378
# omega_kappa_fit_intercept=0.276375
# omega_kappa_ref_slope=0.666667
# omega_kappa_ref_intercept=0.532190
# omega_radius_fit_slope=-0.788378
# omega_radius_fit_intercept=0.276375
# omega_radius_ref_slope=-0.666667
# omega_radius_ref_intercept=0.532190
t,x,y,speed,curvature,radius,omega,log_speed,log_curvature,log_radius,log_omega,osc_cx,osc_cy,tx,ty,nx,ny
1.5,-0.3562138205128215,0.2318724405594412,1.0456090272867038,3.276320897693193,0.30522040765414016,3.4257507069159425,0.04459951688538762,1.1867211153124329,-1.186721115312738,1.2313206321980723,-0.4771048985928018,-0.04838609095942889,-0.9182168835728838,0.39607796545844537,-0.39607796545844537,-0.9182168835728838
1.51,-0.3659786783216794,0.23589318881118948,1.0614958367099776,3.3611971295826235,0.29751304712195725,3.5678967594132986,0.05967908007150176,1.2122971990856706,-1.2122971990859681,1.2719762791574012,-0.4748587251160569,-0.04098069695225831,-0.9306277100852661,0.3659673007543895,-0.3659673007543895,-0.9306277100852661
1.52,-0.375996013986015,0.23961987179487246,1.0684754005491746,3.619626221534147,0.2762716199950288,3.867481576891776,0.06623277309667296,1.2863707667867985,-1.2863707667870747,1.352603539883674,-0.46775613936727156,-0.020968093016648898,-0.9432310304487735,0.33213735592152965,-0.33213735592152965,-0.9432310304487735
1.53,-0.38608764801864903,0.24294798834498904,1.060062297031323,4.116499896612054,0.24292482087094747,4.363746336131558,0.05832767718130781,1.4150032626408457,-1.4150032626410887,1.4733309398223324,-0.457376169245006,0.01071875819410828,-0.9559716019072003,0.2934591902581711,-0.2934591902581711,-0.9559716019072003
1.54,-0.39618332867132977,0.245784002331003,1.0416211373390378,4.789334114347975,0.208797293344804,4.988671647283607,0.04077828541050223,1.5663913859654905,-1.5663913859656993,1.6071696713761565,-0.4477326204406702,0.04345016871404067,-0.9690443318293823,0.24688678164159783,-0.24688678164159783,-0.9690443318293823
1.55,-0.4061662657342669,0.24802377622377692,1.008756299771652,5.682416646507529,0.17598146391015415,5.732173590091724,0.008718185709313276,1.7373766081825182,-1.7373766081826942,1.746094793891997,-0.4402664612396731,0.07537774439447445,-0.9810466852212528,0.19377151858927028,-0.19377151858927028,-0.9810466852212528
1.56,-0.4159108671328683,0.24959451515151584,0.9636752060338545,6.899228209448354,0.14494374872690474,6.648615166214992,-0.03700096434436111,1.9314095516439846,-1.9314095516441294,1.8944085872998144,-0.43444942400512193,0.1058412118709948,-0.9917868451954635,0.12790173453565798,-0.12790173453565798,-0.9917868451954635
1.57,-0.42521060372960495,0.2504792307692315,0.9057153237093574,8.8110050038115,0.11349443106289266,7.980262249232912,-0.09903023455549452,2.1760015087894935,-2.1760015087896067,2.0769712742342508,-0.43087031095855477,0.13712600586433293,-0.9987558318365758,0.049867708714452265,-0.049867708714452265,-0.9987558318365758
1.58,-0.43392271794871917,0.2505144708624716,0.84285027324395,10.97942336113462,0.09107946447713702,9.25400997999575,-0.17096594856538802,2.396022917501454,-2.396022917501545,2.2250569689364363,-0.42984711019357463,0.1595262393660738,-0.9989983144815431,-0.04474782299772991,0.04474782299772991,-0.9989983144815431
1.59,-0.4420287808857821,0.24974615850815926,0.7868120898804695,13.218383594999352,0.07565221517540423,10.400384021227707,-0.23976582669755264,2.581608557280775,-2.581608557280851,2.3418427305837564,-0.4310306401343222,0.1748976544420518,-0.9893762382597083,-0.14537764328489045,0.14537764328489045,-0.9893762382597083
